,Draft_Yr,Pk,Team,Player,College,Yrs,Games,Minutes Played,PTS,TRB,AST,FG_Percentage,TP_Percentage,FT_Percentage,Minutes per Game,Points per Game,TRB per game,Assits per Game,Win Share,WS_per_game,BPM,VORP
0,1976,1.0,HOU,John Lucas,University of Maryland,14.0,928.0,25556.0,9951.0,2151.0,6454.0,0.449,0.303,0.776,27.5,10.7,2.3,7.0,53.7,0.101,-0.4,10.3
1,1976,2.0,CHI,Scott May,Indiana University,7.0,355.0,8029.0,3690.0,1450.0,610.0,0.462,0.0,0.811,22.6,10.4,4.1,1.7,17.4,0.104,-1.0,2.0
2,1976,3.0,KCK,Richard Washington,"University of California, Los Angeles",6.0,351.0,7874.0,3456.0,2204.0,409.0,0.453,0.25,0.711,22.4,9.8,6.3,1.2,10.8,0.066,-2.3,-0.6
3,1976,4.0,DET,Leon Douglas,University of Alabama,7.0,456.0,10111.0,3587.0,2954.0,479.0,0.495,0.0,0.601,22.2,7.9,6.5,1.1,15.2,0.072,-1.6,1.1
4,1976,5.0,POR,Wally Walker,University of Virginia,8.0,565.0,10168.0,3968.0,1759.0,844.0,0.467,0.2,0.643,18.0,7.0,3.1,1.5,12.9,0.061,-2.3,-0.8
5,1976,6.0,BUF,Adrian Dantley,University of Notre Dame,15.0,955.0,34151.0,23177.0,5455.0,2830.0,0.54,0.171,0.818,35.8,24.3,5.7,3.0,134.2,0.189,3.1,44.0
6,1976,7.0,MIL,Quinn Buckner,Indiana University,10.0,719.0,16245.0,5929.0,1969.0,3114.0,0.461,0.184,0.657,22.6,8.2,2.7,4.3,24.7,0.073,0.5,10.2
7,1976,8.0,GSW,Robert Parish,Centenary College of Louisiana,21.0,1611.0,45704.0,23334.0,14715.0,2180.0,0.537,0.0,0.721,28.4,14.5,9.1,1.4,147.0,0.154,1.6,41.5
8,1976,9.0,ATL,Armond Hill,Princeton University,8.0,468.0,11785.0,3214.0,917.0,2194.0,0.408,0.077,0.829,25.2,6.9,2.0,4.7,11.3,0.046,-2.4,-1.1
9,1976,10.0,PHO,Ron Lee,University of Oregon,6.0,448.0,9586.0,3285.0,1219.0,1688.0,0.416,0.321,0.705,21.4,7.3,2.7,3.8,10.7,0.054,0.0,5.0
10,1976,11.0,SEA,Bob Wilkerson,Indiana University,7.0,536.0,14883.0,5424.0,2236.0,1835.0,0.425,0.167,0.751,27.8,10.1,4.2,3.4,8.2,0.027,-1.8,0.6
11,1976,12.0,PHI,Terry Furlow,Michigan State University,4.0,239.0,4809.0,2550.0,507.0,568.0,0.459,0.293,0.862,20.1,10.7,2.1,2.4,7.3,0.073,-1.8,0.3
12,1976,13.0,WSB,Mitch Kupchak,University of North Carolina,9.0,510.0,9905.0,5202.0,2730.0,377.0,0.523,0.0,0.704,19.4,10.2,5.4,0.7,27.1,0.131,-1.2,2.0
13,1976,14.0,WSB,Larry Wright,Grambling State University,6.0,343.0,6834.0,2824.0,550.0,1165.0,0.465,0.261,0.777,19.9,8.2,1.6,3.4,10.6,0.074,-1.9,0.2
14,1976,15.0,CLE,Chuckie Williams,Kansas State University,1.0,22.0,65.0,37.0,4.0,7.0,0.298,0.0,0.75,3.0,1.7,0.2,0.3,-0.2,-0.137,-11.5,-0.2
15,1976,16.0,BOS,Norm Cook,University of Kansas,2.0,27.0,148.0,65.0,30.0,6.0,0.373,0.0,0.529,5.5,2.4,1.1,0.2,-0.1,-0.018,-6.5,-0.2
16,1976,17.0,GSW,Sonny Parker,Texas A&M University,6.0,452.0,10916.0,4471.0,1841.0,954.0,0.501,0.0,0.755,24.2,9.9,4.1,2.1,26.9,0.118,2.2,11.5
17,1976,18.0,CHI,Willie Smith,University of Missouri,4.0,78.0,1200.0,357.0,134.0,277.0,0.4,0.239,0.754,15.4,4.6,1.7,3.6,1.3,0.052,-0.8,0.4
18,1976,19.0,SEA,Bayard Forrest,Grand Canyon University,2.0,139.0,2130.0,569.0,565.0,296.0,0.449,0.0,0.509,15.3,4.1,4.1,2.1,2.7,0.06,-0.8,0.6
19,1976,20.0,POR,Major Jones,Albany State University,6.0,374.0,5063.0,1643.0,1323.0,215.0,0.49,0.111,0.586,13.5,4.4,3.5,0.6,5.5,0.052,-2.4,-0.5
20,1976,21.0,LAL,Earl Tatum,Marquette University,4.0,262.0,5229.0,2508.0,682.0,507.0,0.459,0.333,0.746,20.0,9.6,2.6,1.9,7.8,0.071,-0.8,1.6
21,1976,22.0,POR,Johnny Davis,University of Dayton,10.0,750.0,21200.0,9710.0,1505.0,3368.0,0.448,0.176,0.821,28.3,12.9,2.0,4.5,38.5,0.087,-1.7,1.4
22,1976,23.0,MIL,Alex English,University of South Carolina,15.0,1193.0,38063.0,25613.0,6538.0,4351.0,0.507,0.217,0.832,31.9,21.5,5.5,3.6,100.7,0.127,1.7,35.6
23,1976,24.0,MIL,Scott Lloyd,Arizona State University,6.0,372.0,5638.0,1694.0,1114.0,356.0,0.425,0.286,0.718,15.2,4.6,3.0,1.0,2.5,0.021,-3.6,-2.2
24,1976,25.0,NYK,Lonnie Shelton,Oregon State University,10.0,673.0,18530.0,8049.0,4136.0,1459.0,0.492,0.097,0.738,27.5,12.0,6.1,2.2,37.5,0.097,1.1,14.7
25,1976,26.0,NOJ,Jacky Dorsey,University of Georgia,3.0,60.0,449.0,143.0,141.0,16.0,0.389,0.0,0.544,7.5,2.4,2.4,0.3,0.3,0.031,-6.2,-0.5
26,1976,27.0,HOU,Phil Hicks,Tulane University,2.0,57.0,390.0,132.0,94.0,32.0,0.447,0.0,0.778,6.8,2.3,1.6,0.6,0.5,0.058,-2.9,-0.1
27,1976,28.0,ATL,Bob Carrington,Boston College,2.0,82.0,1787.0,672.0,187.0,120.0,0.428,0.0,0.76,21.8,8.2,2.3,1.5,1.3,0.036,-3.1,-0.5
28,1976,29.0,SEA,Dennis Johnson,Pepperdine University,14.0,1100.0,35954.0,15535.0,4249.0,5499.0,0.445,0.172,0.797,32.7,14.1,3.9,5.0,82.6,0.11,0.6,23.6
