,Player,All_NBA,All-Star,Draft_Yr,Pk,Team,College,Yrs,Games,Minutes Played,PTS,TRB,AST,FG_Percentage,TP_Percentage,FT_Percentage,Minutes per Game,Points per Game,TRB per game,Assits per Game,Win Share,WS_per_game,BPM,VORP,Executive,Tenure
0,Tim Duncan,15.0,15.0,1997.0,1.0,SAS,Wake Forest University,19.0,1392.0,47368.0,26496.0,15091.0,4225.0,0.506,0.179,0.696,34.0,19.0,10.8,3.0,206.4,0.209,5.5,89.3,Gregg Popovich,2953 days 00:00:00.000000000
1,Kobe Bryant,15.0,18.0,1996.0,13.0,NOH,0,20.0,1346.0,48637.0,33643.0,7047.0,6306.0,0.447,0.329,0.837,36.1,25.0,5.2,4.7,172.7,0.17,3.9,72.1,Bob Bass,3292 days 00:00:00.000000000
2,Tony Delk,0.0,0.0,1996.0,16.0,NOH,University of Kentucky,10.0,545.0,11702.0,4957.0,1351.0,1024.0,0.408,0.343,0.769,21.5,9.1,2.5,1.9,19.5,0.08,-1.3,2.1,Bob Bass,3292 days 00:00:00.000000000
3,Malik Rose,0.0,0.0,1996.0,44.0,NOH,Drexel University,13.0,813.0,13404.0,5003.0,3371.0,684.0,0.437,0.177,0.743,16.5,6.2,4.1,0.8,26.5,0.095,-1.4,1.9,Bob Bass,3292 days 00:00:00.000000000
4,Shaquille O'Neal,14.0,15.0,1992.0,1.0,ORL,Louisiana State University,19.0,1207.0,41918.0,28596.0,13099.0,3026.0,0.582,0.045,0.527,34.7,23.7,10.9,2.5,181.7,0.208,5.0,74.0,Pat Williams,3406 days 00:00:00.000000000
5,Karl Malone,14.0,14.0,1985.0,13.0,UTA,Louisiana Tech University,19.0,1476.0,54852.0,36928.0,14968.0,5248.0,0.516,0.274,0.742,37.2,25.0,10.1,3.6,234.6,0.205,5.4,102.5,Frank Layden,2959 days 00:00:00.000000000
6,Carey Scurry,0.0,0.0,1985.0,37.0,UTA,Long Island University,3.0,180.0,2376.0,847.0,524.0,192.0,0.48,0.25,0.666,13.2,4.7,2.9,1.1,5.3,0.107,3.0,3.0,Frank Layden,2959 days 00:00:00.000000000
7,Delaney Rudd,0.0,0.0,1985.0,83.0,UTA,Wake Forest University,4.0,239.0,2357.0,816.0,184.0,519.0,0.413,0.257,0.761,9.9,3.4,0.8,2.2,0.7,0.014,-5.3,-1.9,Frank Layden,2959 days 00:00:00.000000000
8,Ray Hall,0.0,0.0,1985.0,105.0,UTA,Canisius College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Frank Layden,2959 days 00:00:00.000000000
9,Jim Miller,0.0,0.0,1985.0,129.0,UTA,University of Virginia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Frank Layden,2959 days 00:00:00.000000000
10,Mike Wacker,0.0,0.0,1985.0,151.0,UTA,University of Texas at San Antonio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Frank Layden,2959 days 00:00:00.000000000
11,Hakeem Olajuwon,12.0,12.0,1984.0,1.0,HOU,University of Houston,18.0,1238.0,44222.0,26946.0,13748.0,3058.0,0.512,0.202,0.712,35.7,21.8,11.1,2.5,162.8,0.177,4.9,77.1,Ray Patterson,6417 days 00:00:00.000000000
12,Jim Petersen,0.0,0.0,1984.0,51.0,HOU,University of Minnesota,8.0,491.0,9802.0,3397.0,2354.0,487.0,0.486,0.071,0.725,20.0,6.9,4.8,1.0,13.8,0.067,-1.8,0.4,Ray Patterson,6417 days 00:00:00.000000000
13,Willie Jackson,0.0,0.0,1984.0,74.0,HOU,Centenary College of Louisiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ray Patterson,6417 days 00:00:00.000000000
14,Al McClain,0.0,0.0,1984.0,97.0,HOU,University of New Hampshire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ray Patterson,6417 days 00:00:00.000000000
15,Joedy Gardner,0.0,0.0,1984.0,143.0,HOU,"California State University, Long Beach",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ray Patterson,6417 days 00:00:00.000000000
16,Greg Wolff,0.0,0.0,1984.0,166.0,HOU,Angelo State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ray Patterson,6417 days 00:00:00.000000000
17,Bill Coon,0.0,0.0,1984.0,188.0,HOU,Presbyterian College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ray Patterson,6417 days 00:00:00.000000000
18,Robert Turner,0.0,0.0,1984.0,210.0,HOU,Canisius College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ray Patterson,6417 days 00:00:00.000000000
19,LeBron James,12.0,12.0,2003.0,1.0,CLE,0,13.0,987.0,38478.0,26833.0,7067.0,6815.0,0.498,0.34,0.744,39.0,27.2,7.2,6.9,192.5,0.24,9.2,108.6,Jim Paxson,2151 days 00:00:00.000000000
20,Jason Kapono,0.0,0.0,2003.0,31.0,CLE,"University of California, Los Angeles",9.0,509.0,9068.0,3398.0,844.0,417.0,0.442,0.434,0.835,17.8,6.7,1.7,0.8,10.3,0.055,-3.0,-2.3,Jim Paxson,2151 days 00:00:00.000000000
21,Dirk Nowitzki,12.0,13.0,1998.0,9.0,MIL,0,18.0,1340.0,47249.0,29491.0,10540.0,3414.0,0.474,0.381,0.879,35.3,22.0,7.9,2.5,198.8,0.202,3.5,65.7,Bob Weinhauer,836 days 00:00:00.000000000
22,Pat Garrity,0.0,0.0,1998.0,19.0,MIL,University of Notre Dame,10.0,552.0,11062.0,4017.0,1457.0,443.0,0.417,0.398,0.806,20.0,7.3,2.6,0.8,18.7,0.081,-1.8,0.7,Bob Weinhauer,836 days 00:00:00.000000000
23,Rafer Alston,0.0,0.0,1998.0,39.0,MIL,"California State University, Fresno",11.0,671.0,19392.0,6799.0,1891.0,3202.0,0.383,0.354,0.729,28.9,10.1,2.8,4.8,32.9,0.081,0.2,10.9,Bob Weinhauer,836 days 00:00:00.000000000
24,John Stockton,11.0,10.0,1984.0,16.0,UTA,Gonzaga University,19.0,1504.0,47764.0,19711.0,4051.0,15806.0,0.515,0.384,0.826,31.8,13.1,2.7,10.5,207.7,0.209,3.5,65.9,Frank Layden,2959 days 00:00:00.000000000
25,David Pope,0.0,0.0,1984.0,62.0,UTA,Norfolk State University,2.0,33.0,203.0,62.0,29.0,9.0,0.356,0.5,0.529,6.2,1.9,0.9,0.3,-0.1,-0.026,-6.8,-0.2,Frank Layden,2959 days 00:00:00.000000000
26,Jim Rowinski,0.0,0.0,1984.0,86.0,UTA,Purdue University,2.0,23.0,127.0,57.0,34.0,5.0,0.417,0.0,0.844,5.5,2.5,1.5,0.2,0.3,0.113,-4.6,-0.1,Frank Layden,2959 days 00:00:00.000000000
