,Player,All_NBA,All-Star,Draft_Yr,Pk,Team,College,Yrs,Games,Minutes Played,PTS,TRB,AST,FG_Percentage,TP_Percentage,FT_Percentage,Minutes per Game,Points per Game,TRB per game,Assits per Game,Win Share,WS_per_game,BPM,VORP,Executive,Tenure,attend_college,Exec_id,Exec_draft_exp
199,Chris Mullin,4,5,1985,7,GSW,St. John's University,16,986,32163,17911,4034,3450,0.509,0.384,0.865,32.6,18.2,4.1,3.5,93.1,0.139,2.8,38.7,Al Attles,3641 days 00:00:00.000000000,1,33,1
201,Brad Wright,0,0,1985,49,GSW,"University of California, Los Angeles",2,16,145,54,54,1,0.412,0,0.429,9.1,3.4,3.4,0.1,-0.1,-0.045,-10.3,-0.3,Al Attles,3641 days 00:00:00.000000000,1,33,1
202,Luster Goodwin,0,0,1985,71,GSW,University of Texas at El Paso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,1
203,Greg Cavener,0,0,1985,95,GSW,University of Missouri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,1
204,Gerald Crosby,0,0,1985,117,GSW,University of Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,1
205,Eric Boyd,0,0,1985,141,GSW,North Carolina Agricultural and Technical State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,1
331,Robert Parish,2,9,1976,8,GSW,Centenary College of Louisiana,21,1611,45704,23334,14715,2180,0.537,0,0.721,28.4,14.5,9.1,1.4,147,0.154,1.6,41.5,Al Attles,3641 days 00:00:00.000000000,1,33,2
332,Sonny Parker,0,0,1976,17,GSW,Texas A&M University,6,452,10916,4471,1841,954,0.501,0,0.755,24.2,9.9,4.1,2.1,26.9,0.118,2.2,11.5,Al Attles,3641 days 00:00:00.000000000,1,33,2
333,Marshall Rogers,0,0,1976,34,GSW,University of Texas-Pan American,1,26,176,100,11,10,0.371,0,0.933,6.8,3.8,0.4,0.4,-0.2,-0.043,-9.9,-0.4,Al Attles,3641 days 00:00:00.000000000,1,33,2
334,Jeff Fosnes,0,0,1976,68,GSW,Vanderbilt University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,2
335,Carl Bird,0,0,1976,86,GSW,University of California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,2
336,Duane Barnett,0,0,1976,91,GSW,Stanford University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,2
337,Gene Cunningham,0,0,1976,104,GSW,Norfolk State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,2
338,Jesse Campbell,0,0,1976,122,GSW,Mercyhurst College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,2
339,Stan Boskovich,0,0,1976,140,GSW,West Virginia University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,2
340,Howard Smith,0,0,1976,157,GSW,University of San Francisco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,2
341,Ken Smith,0,0,1976,173,GSW,San Diego State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,2
854,Rickey Green,0,0,1977,16,GSW,University of Michigan,14,946,23271,8870,1819,5221,0.469,0.207,0.807,24.6,9.4,1.9,5.5,47.2,0.097,-1,5.8,Al Attles,3641 days 00:00:00.000000000,1,33,3
855,Wesley Cox,0,0,1977,18,GSW,University of Louisville,2,74,813,342,206,23,0.412,0,0.51,11,4.6,2.8,0.3,0.1,0.007,-6.9,-1,Al Attles,3641 days 00:00:00.000000000,1,33,3
856,Ricky Love,0,0,1977,38,GSW,University of Alabama at Huntsville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,3
857,Marlon Redmond,0,0,1977,60,GSW,University of San Francisco,2,77,1057,499,161,77,0.423,0,0.655,13.7,6.5,2.1,1,0.6,0.026,-3.8,-0.5,Al Attles,3641 days 00:00:00.000000000,1,33,3
858,Roy Smith,0,0,1977,82,GSW,Kentucky State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,3
859,Leartha Scott,0,0,1977,87,GSW,University of Wisconsin-Parkside,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,3
860,Ray Epps,0,0,1977,104,GSW,Norfolk State University,1,13,72,26,5,2,0.435,0,0.75,5.5,2,0.4,0.2,0.1,0.057,-6.9,-0.1,Al Attles,3641 days 00:00:00.000000000,1,33,3
