"X","Twitter_Handle","Sex","Tweet_id","Created_at","Text","Favorite_count","Retweet_count","Hashtags","User_mentions"
"753","BobLeyESPN","M","6.5192E+17","10/8/15 0:38","Yes, @BillSimmons entitled to his own opinions , but not his own set of facts. See months of OTL, @DVNJr reporting.",227,62,"","BillSimmons"
"2903","catwhitehill4","F","2375936457","6/28/09 20:23","bummer",0,0,"",""
"912","The2RobbiesNBC","M","7.00408E+17","2/18/16 19:52","Really........... ",9,4,"",""
"2127","SteveBowercomm","M","4.58552E+17","4/22/14 10:24","@wazmcr13 ha! Chief scout!",0,0,"","wazmcr13"
"246","SteveBowercomm","M","7.52193E+17","7/10/16 17:28","Brilliant. Stop watch is on.... ",3,1,"",""
"544","JalenRose","M","7.49084E+17","7/2/16 3:35","@MRegalbuto #respect! #wifey",7,4,"respect","MRegalbuto"
"137","tonysocc","M","5.88107E+17","4/14/15 22:29","Congrats to #ussoccer_wnt players for making the World Cup Roster.  Don't bet against this team. Depth, talent, tradition  a vision to win!",33,9,"ussoccer_wnt",""
"3167","GenoEspn","M","5.06474E+17","9/1/14 16:11","Updated BMOC. Now on to Labor Day and countdown to the Ville vs. the U.
",2,1,"",""
"2975","notthefakeSVP","M","7.35346E+17","5/25/16 5:44","@jakewasikowski they got shots for that.",2,0,"","jakewasikowski"
"263","friedel_b","M","6.35571E+17","8/23/15 21:53","@RealTomHoskins defending from TFC won't be able to deal with LAG attack",2,0,"","RealTomHoskins"
"763","BobLeyESPN","M","6.51063E+17","10/5/15 15:55","1:30 PM  ET - NEW TIME FOR @OTLonESPN AS OF TODAY. Mondays on ESPN2. Today, allegations of escort sexual favors for L'ville plyrs, recruits.",3,6,"","OTLonESPN"
"156","HannahStormESPN","F","7.85125E+17","10/9/16 14:28","@Brian_Korn thanks!  it's @KarenMillen",1,0,"","Brian_Korn"
"253","AleMorenoESPN","M","7.16362E+17","4/2/16 20:31","Well deserved win for RM. BAR got stretched, lost control of the game and couldn't keep up with the counter. MSN not at their best. #BARvRM",33,33,"BARvRM",""
"1970","MarkJackson13","M","4.77517E+17","6/13/14 18:24","���@MettaWorld_Mack: @MarkJackson13 pastor Jackson I need you to say a special prayer for me�۝��_Done! Be Blessed",11,3,"","MettaWorld_Mack"
